Year,Births,Deaths,Difference,Verdict
2007,1444428,803853,640575,Births > Deaths
2008,1403499,808177,595322,Births > Deaths
2009,1370737,816176,554561,Births > Deaths
2010,1352748,831924,520824,Births > Deaths
2011,1322835,828222,494613,Births > Deaths
2012,1335008,863989,471019,Births > Deaths
2013,1332626,852454,480172,Births > Deaths
2014,1350369,888128,462241,Births > Deaths
2015,1341065,886963,454102,Births > Deaths
2016,1320629,919749,400880,Births > Deaths
2017,1299468,940935,358533,Births > Deaths
2018,1269019,935254,333765,Births > Deaths
2019,1257712,955379,302333,Births > Deaths
2020,1189265,1198833,-9568,Deaths > Births
2021,1253968,1219192,34776,Births > Deaths
2022,1241000,1084229,156771,Births > Deaths
2023,1210897,1043451,167446,Births > Deaths
